Category,Merk,Product,Price,Rating
Night Cream,Hada Labo,Perfect 3D Gel,91,3.8
Night Cream,Wardah,Lightening Night Cream,0,3.5
Night Cream,Wardah,White Secret Night Cream,98,3.6
Night Cream,Safi,White Expert Replenishing Night Cream,103,3.6
Night Cream,Garnier,Light Complete White Speed Multi-Action Whitening Serum Cream Night Restore,54,3.2
Night Cream,L'Oreal Paris,White Perfect Clinical Overnight Treatment,150,3.8
Night Cream,The Body Shop,Vitamin E Nourishing Night Cream,199,3.7
Night Cream,The Body Shop,Vitamin E Gel Moisture Cream,199,4.1
Night Cream,PIXY,White Aqua Gel Cream Night Cream,50,3.5
Day Cream,Nivea,Soft,7,4
Day Cream,Pond's,Instabright Pink Tone Up Cream,23,3.3
Day Cream,Fair & Lovely,Krim Pencerah Multi Vitamin,12,3.1
Day Cream,Garnier,Sakura White Serum Day Cream,61,3.4
Day Cream,Garnier,Light Complete Multi-Action Whitening Serum Cream Extra UV Protection,45,3.2
Day Cream,Wardah,Lightening Day Cream,0,3.2
Day Cream,Wardah,White Secret Day Cream,97,3.5
Day Cream,Garnier,Light Complete Bright Up Tone Up Cream,25,3.3
Day Cream,Garnier,Light Complete White Speed Yuzu Whitening Serum Cream SPF 19,55,3.4
Day Cream,The Body Shop,Vitamin E Moisture Cream,179,3.5
Day Cream,Safi,White Expert Illuminating Day Cream SPF15 PA++,99,3.5
Sun Protection,Wardah,Sunscreen Gel SPF 30,28,3.1
Sun Protection,L'Oreal Paris,UV Perfect Matte & Fresh Long UV SPF 50/ PA++++,99,4
Sun Protection,Nivea,Sun Protect & White Oil Control Serum SPF50 PA+++,60,4.3
Sun Protection,Wardah,Wardah Sun Care,33,3.3
Sun Protection,The Body Shop,Skin Defence Multi-Protection Essence,399,4.3
Sun Protection,Safi,Age Defy Gold Water Essence,142,4.2
Lotion,Hada Labo,Shirojyun Ultimate Whitening Milk,50,3.4
Lotion,Clinique,Dramatically Different Moisturizing Gel,361,4.2
Lotion,Hada Labo,Gokujyun Alpha Ultimate Anti Aging Milk,50,4.1
Lotion,The Body Shop,Tea Tree Mattifying Lotion,198,3.5
